Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Krzysztof Piątek,pl POL,FW,26.0,9,4,347.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,0.0,1.8,4.0,6.0,23.0,0.26,0.0,0.26,0.26,0.26,0.46,0.0,0.46,0.46,0.46,Matches,hertha bsc
Fredrik André Bjørkan,no NOR,DF,22.0,9,2,353.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,hertha bsc
Lukas Klünter,de GER,DF,25.0,5,2,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,3.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches,hertha bsc
Dodi Lukebakio,be BEL,FW,23.0,3,2,176.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.2,0.4,0.0,0.4,5.0,2.0,7.0,0.51,0.0,0.51,0.0,0.0,0.59,0.0,0.59,0.19,0.19,Matches,hertha bsc
Dennis Jastrzembski,pl POL,"DF,FW",21.0,8,1,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,9.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.02,0.28,0.3,0.02,0.3,Matches,hertha bsc
Javairô Dilrosun,nl NED,FW,23.0,2,1,138.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,hertha bsc
Lee Dongjun,kr KOR,"MF,FW",24.0,4,1,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,hertha bsc
Matheus Cunha,br BRA,FW,22.0,1,1,64.0,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.2,2.0,1.0,1.0,0.0,1.41,1.41,0.0,1.41,0.4,1.24,1.64,0.4,1.64,Matches,hertha bsc
Julian Eitschberger,de GER,DF,17.0,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,hertha bsc
Anton Kade,de GER,"FW,MF",17.0,4,0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches,hertha bsc
Marten Winkler,de GER,MF,18.0,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,hertha bsc
Cimo Röcker,de GER,DF,27.0,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,Matches,hertha bsc
Luca Wollschläger,de GER,"FW,MF",18.0,2,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.16,0.35,0.5,0.16,0.5,Matches,hertha bsc
Julian Albrecht,de GER,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,hertha bsc
