Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Amine Gouiri,fr FRA,"FW,MF",21.0,38,32,2754.0,30.6,10.0,9.0,19.0,7.0,3.0,5.0,3.0,0.0,11.8,7.9,5.9,13.8,93.0,104.0,198.0,0.33,0.29,0.62,0.23,0.52,0.39,0.19,0.58,0.26,0.45,Matches,nice
Pablo Rosario,nl NED,MF,24.0,36,31,2729.0,30.3,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,1.2,1.2,1.0,2.2,23.0,186.0,24.0,0.0,0.07,0.07,0.0,0.07,0.04,0.03,0.07,0.04,0.07,Matches,nice
Melvin Bard,fr FRA,DF,20.0,33,30,2589.0,28.8,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.9,0.9,3.4,4.3,65.0,134.0,129.0,0.07,0.07,0.14,0.07,0.14,0.03,0.12,0.15,0.03,0.15,Matches,nice
Andy Delort,dz ALG,FW,29.0,32,26,2448.0,27.2,16.0,2.0,18.0,13.0,3.0,3.0,3.0,0.0,14.6,12.2,3.9,16.1,24.0,54.0,188.0,0.59,0.07,0.66,0.48,0.55,0.54,0.14,0.68,0.45,0.59,Matches,nice
Mario Lemina,ga GAB,MF,27.0,32,24,1967.0,21.9,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,2.0,2.0,0.4,2.3,35.0,93.0,30.0,0.09,0.0,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11,Matches,nice
Justin Kluivert,nl NED,MF,22.0,27,24,1868.0,20.8,4.0,5.0,9.0,4.0,0.0,0.0,6.0,1.0,2.8,2.8,4.9,7.7,83.0,56.0,166.0,0.19,0.24,0.43,0.19,0.43,0.14,0.23,0.37,0.14,0.37,Matches,nice
Hicham Boudaoui,dz ALG,MF,21.0,29,21,1621.0,18.0,3.0,2.0,5.0,3.0,0.0,0.0,7.0,0.0,1.1,1.1,2.7,3.8,38.0,47.0,101.0,0.17,0.11,0.28,0.17,0.28,0.06,0.15,0.21,0.06,0.21,Matches,nice
Khéphren Thuram-Ulie,fr FRA,MF,20.0,36,20,1901.0,21.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,2.7,2.7,2.3,5.0,65.0,123.0,33.0,0.19,0.09,0.28,0.19,0.28,0.13,0.11,0.24,0.13,0.24,Matches,nice
Jordan Lotomba,ch SUI,DF,22.0,30,19,1782.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,1.2,2.0,50.0,79.0,101.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,Matches,nice
Kasper Dolberg,dk DEN,FW,23.0,26,19,1492.0,16.6,6.0,2.0,8.0,4.0,2.0,2.0,0.0,0.0,6.4,4.8,1.2,6.1,15.0,16.0,90.0,0.36,0.12,0.48,0.24,0.36,0.39,0.07,0.46,0.29,0.37,Matches,nice
