Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Thom Haye,nl NED,MF,26.0,14,14,1226.0,13.6,0.0,5.0,5.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,4.0,4.7,34.0,104.0,21.0,0.0,0.37,0.37,0.0,0.37,0.05,0.3,0.34,0.05,0.34,Matches,heerenveen
Sydney van Hooijdonk,nl NED,FW,21.0,13,13,998.0,11.1,6.0,1.0,7.0,5.0,1.0,1.0,1.0,0.0,4.4,3.7,1.2,4.9,9.0,16.0,48.0,0.54,0.09,0.63,0.45,0.54,0.4,0.1,0.5,0.33,0.44,Matches,heerenveen
Amin Sarr,se SWE,FW,20.0,13,12,1076.0,12.0,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5,7.5,31.0,13.0,83.0,0.42,0.08,0.5,0.42,0.5,0.42,0.21,0.62,0.42,0.62,Matches,heerenveen
Anas Tahiri,be BEL,MF,26.0,16,11,993.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,1.0,1.8,18.0,51.0,22.0,0.09,0.09,0.18,0.09,0.18,0.06,0.09,0.16,0.06,0.16,Matches,heerenveen
Filip Stevanovic,rs SRB,"FW,MF",18.0,21,10,856.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,0.6,2.2,26.0,16.0,67.0,0.11,0.11,0.21,0.11,0.21,0.17,0.06,0.23,0.17,0.23,Matches,heerenveen
Rodney Kongolo,nl NED,MF,23.0,10,7,620.0,6.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.6,0.9,7.0,21.0,2.0,0.0,0.15,0.15,0.0,0.15,0.04,0.08,0.13,0.04,0.13,Matches,heerenveen
Arjen van der Heide,nl NED,"FW,MF",19.0,19,4,493.0,5.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.6,1.2,13.0,11.0,46.0,0.0,0.18,0.18,0.0,0.18,0.11,0.11,0.21,0.11,0.21,Matches,heerenveen
Benjamin Nygren,se SWE,"FW,MF",20.0,17,3,476.0,5.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.1,9.0,15.0,34.0,0.0,0.19,0.19,0.0,0.19,0.19,0.01,0.2,0.19,0.2,Matches,heerenveen
Rami Al Hajj,se SWE,"MF,FW",19.0,19,2,469.0,5.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,1.3,2.4,9.0,16.0,21.0,0.19,0.0,0.19,0.19,0.19,0.23,0.24,0.47,0.23,0.47,Matches,heerenveen
Syb Van Ottele,nl NED,DF,19.0,3,2,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,heerenveen
Joost van Aken,nl NED,DF,27.0,3,2,199.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.0,5.0,0.0,0.45,0.0,0.45,0.45,0.45,0.39,0.01,0.4,0.39,0.4,Matches,heerenveen
Hamdi Akujobi,nl NED,"DF,FW",21.0,5,1,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,7.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,Matches,heerenveen
Mitchell van Bergen,nl NED,FW,21.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,7.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.2,0.09,0.2,Matches,heerenveen
Djenahro Nunumete,nl NED,DF,19.0,2,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,heerenveen
Trustin van 't Loo,nl NED,MF,17.0,1,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.39,0.39,0.39,Matches,heerenveen
Timo Zaal,nl NED,"DF,MF",17.0,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,1.85,0.0,1.85,Matches,heerenveen
Jan Ras,nl NED,MF,22.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,heerenveen
Stanislav Shopov,bg BUL,MF,19.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,heerenveen
Jan Bekkema,nl NED,GK,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,heerenveen
Marijn Dijkstra,nl NED,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,heerenveen
Robin Maulun,fr FRA,MF,24.0,31,31,2652.0,29.5,5.0,6.0,11.0,2.0,3.0,4.0,5.0,0.0,4.5,1.4,5.1,6.5,34.0,155.0,51.0,0.17,0.2,0.37,0.07,0.27,0.15,0.17,0.33,0.05,0.22,Matches,cambuur
Calvin Mac-Intosch,sr SUR,DF,31.0,32,30,2490.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.1,1.1,0.1,1.2,23.0,96.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,cambuur
Sonny Stevens,nl NED,GK,29.0,29,29,2601.0,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cambuur
Doke Schmidt,nl NED,DF,29.0,30,29,2493.0,27.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.4,0.4,1.4,1.8,35.0,86.0,16.0,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.06,0.01,0.06,Matches,cambuur
Erik Schouten,nl NED,DF,29.0,29,29,2385.0,26.5,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.1,2.1,0.9,2.9,17.0,76.0,2.0,0.08,0.08,0.15,0.08,0.15,0.08,0.03,0.11,0.08,0.11,Matches,cambuur
