Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Anfernee Dijksteel,sr SUR,DF,24.0,34,34,2961.0,32.9,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,4.1,4.7,71.0,112.0,55.0,0.0,0.09,0.09,0.0,0.09,0.02,0.12,0.14,0.02,0.14,Matches,middlesbrough
Dael Fry,eng ENG,DF,23.0,33,32,2814.0,31.3,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,1.3,2.2,14.0,72.0,8.0,0.03,0.06,0.1,0.03,0.1,0.03,0.04,0.07,0.03,0.07,Matches,middlesbrough
Andraž Šporar,si SVN,FW,27.0,35,28,2371.0,26.3,8.0,2.0,10.0,5.0,3.0,3.0,3.0,0.0,13.4,11.1,2.3,13.4,29.0,49.0,136.0,0.3,0.08,0.38,0.19,0.27,0.51,0.09,0.6,0.42,0.51,Matches,middlesbrough
Duncan Watmore,eng ENG,FW,27.0,41,22,1966.0,21.8,7.0,3.0,10.0,7.0,0.0,0.0,1.0,0.0,5.5,5.5,3.5,9.0,47.0,43.0,135.0,0.32,0.14,0.46,0.32,0.46,0.25,0.16,0.41,0.25,0.41,Matches,middlesbrough
Marc Bola,eng ENG,DF,23.0,23,19,1761.0,19.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,2.5,3.3,37.0,89.0,108.0,0.05,0.05,0.1,0.05,0.1,0.04,0.13,0.17,0.04,0.17,Matches,middlesbrough
Sol Bamba,ci CIV,DF,36.0,24,18,1664.0,18.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.1,1.1,1.0,2.1,1.0,51.0,2.0,0.0,0.05,0.05,0.0,0.05,0.06,0.05,0.11,0.06,0.11,Matches,middlesbrough
Lee Peltier,eng ENG,DF,34.0,21,17,1466.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.8,0.8,0.1,0.9,5.0,53.0,11.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05,Matches,middlesbrough
Neil Taylor,wls WAL,DF,32.0,14,14,1104.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,0.5,1.4,11.0,49.0,54.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches,middlesbrough
Aaron Connolly,ie IRL,FW,21.0,19,13,1183.0,13.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,4.4,4.4,0.6,5.0,19.0,19.0,68.0,0.15,0.0,0.15,0.15,0.15,0.33,0.04,0.38,0.33,0.38,Matches,middlesbrough
Luke Daniels,eng ENG,GK,33.0,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,middlesbrough
Folarin Balogun,eng ENG,FW,20.0,18,9,891.0,9.9,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,3.6,3.6,1.4,5.0,16.0,23.0,94.0,0.3,0.3,0.61,0.3,0.61,0.36,0.14,0.5,0.36,0.5,Matches,middlesbrough
Onel Hernández,cu CUB,"FW,DF",28.0,17,9,787.0,8.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.2,2.2,2.2,4.4,37.0,15.0,75.0,0.11,0.0,0.11,0.11,0.11,0.26,0.25,0.51,0.26,0.51,Matches,middlesbrough
Grant Hall,eng ENG,DF,29.0,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.7,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.08,0.07,0.08,Matches,middlesbrough
Uche Ikpeazu,ug UGA,FW,26.0,20,8,650.0,7.2,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,2.7,1.9,0.8,2.6,13.0,9.0,37.0,0.28,0.14,0.42,0.14,0.28,0.37,0.11,0.47,0.26,0.37,Matches,middlesbrough
Riley McGree,au AUS,MF,22.0,11,7,725.0,8.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.1,1.1,1.2,2.3,18.0,54.0,40.0,0.25,0.0,0.25,0.25,0.25,0.13,0.15,0.28,0.13,0.28,Matches,middlesbrough
Martín Payero,ar ARG,MF,22.0,13,6,567.0,6.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,1.9,2.9,10.0,22.0,22.0,0.16,0.16,0.32,0.16,0.32,0.15,0.31,0.46,0.15,0.46,Matches,middlesbrough
Josh Coburn,eng ENG,FW,18.0,18,3,481.0,5.3,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.1,3.1,0.3,3.4,2.0,4.0,23.0,0.75,0.0,0.75,0.75,0.75,0.59,0.06,0.65,0.59,0.65,Matches,middlesbrough
James Lea Siliki,cm CMR,"MF,FW",25.0,11,3,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.6,3.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.12,0.17,0.05,0.17,Matches,middlesbrough
Sam Morsy,eg EGY,MF,29.0,3,3,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.1,4.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,middlesbrough
Djed Spence,eng ENG,FW,20.0,3,2,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,6.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.26,0.02,0.28,0.26,0.28,Matches,middlesbrough
Toyosi Olusanya,eng ENG,FW,23.0,3,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,middlesbrough
Caolan Boyd-Munce,nir NIR,DF,21.0,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,Matches,middlesbrough
Chuba Akpom,eng ENG,FW,25.0,1,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,middlesbrough
Williams Kokolo,fr FRA,DF,21.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,middlesbrough
Joseph Gibson,eng ENG,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,middlesbrough
Connor Malley,eng ENG,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,middlesbrough
Jermie Sivi,,MF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,middlesbrough
Dejan Stojanović,at AUT,GK,28.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,middlesbrough
Thomas Kaminski,be BEL,GK,28.0,44,44,3925.0,43.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.01,0.01,0.0,0.01,Matches,blackburn rovers
