Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Óscar Rodríguez Arnaiz,es ESP,"FW,MF",23.0,4.6,1,0,0,5,6,1,15,5,3,0.0,0.0,0,18.0,3.0,5.0,37.5,Matches,sevilla
Iván Romero,es ESP,FW,20.0,2.0,0,0,0,4,6,1,0,2,2,0.0,0.0,0,3.0,1.0,10.0,9.1,Matches,sevilla
Oussama Idrissi,ma MAR,"MF,FW",25.0,1.4,1,0,0,4,4,2,4,1,0,1.0,0.0,0,6.0,0.0,1.0,0.0,Matches,sevilla
Javier Díaz,es ESP,GK,24.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches,sevilla
Carmona,es ESP,DF,19.0,0.3,0,0,0,0,1,0,0,1,0,0.0,0.0,0,1.0,0.0,1.0,0.0,Matches,sevilla
Luismi,es ESP,"FW,MF",20.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,sevilla
Pedro Ortiz,es ESP,MF,20.0,0.1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,sevilla
Juan Sánchez,es ESP,,17.0,0.1,1,0,0,1,0,0,0,0,0,,,0,,,,,Matches,sevilla
Sergio Canales,es ESP,"FW,MF",30.0,31.0,6,0,0,19,39,11,67,10,14,0.0,0.0,0,179.0,11.0,26.0,29.7,Matches,real betis
Guido Rodríguez,ar ARG,MF,27.0,28.1,9,1,1,47,50,2,4,31,53,0.0,0.0,0,206.0,33.0,17.0,66.0,Matches,real betis
Álex Moreno,es ESP,DF,28.0,26.7,3,1,0,33,38,3,84,34,40,1.0,0.0,0,145.0,24.0,34.0,41.4,Matches,real betis
Juanmi,es ESP,FW,28.0,23.7,5,0,0,40,15,18,4,9,25,1.0,0.0,0,106.0,32.0,37.0,46.4,Matches,real betis
Marc Bartra,es ESP,DF,30.0,22.1,5,0,0,21,16,0,0,33,14,0.0,0.0,0,99.0,59.0,36.0,62.1,Matches,real betis
Germán Pezzella,ar ARG,DF,30.0,22.1,5,1,0,26,6,2,1,39,9,0.0,0.0,1,82.0,58.0,30.0,65.9,Matches,real betis
Héctor Bellerín,es ESP,DF,26.0,22.0,2,1,0,23,14,2,42,23,32,0.0,0.0,1,95.0,27.0,19.0,58.7,Matches,real betis
Rui Silva,pt POR,GK,27.0,21.8,2,0,0,1,3,0,0,1,0,0.0,1.0,0,29.0,3.0,0.0,100.0,Matches,real betis
