Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Flávio Nazinho,pt POR,"DF,MF",18.0,1.1,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,25.0,Matches,sporting cp
João Virgínia,pt POR,GK,21.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,Matches,sporting cp
Dario Essugo,pt POR,MF,16.0,0.5,1.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3,Matches,sporting cp
Tiago Tomás,pt POR,"MF,FW",19.0,1.9,2.0,0.0,0.0,5.0,12.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,Matches,sporting cp
Rodrigo Duarte,pt POR,FW,16.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Matches,sporting cp
Geny Catamo,mz MOZ,DF,20.0,0.3,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0,Matches,sporting cp
José Marsà,es ESP,DF,19.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,Matches,sporting cp
Jan Vertonghen,be BEL,DF,34.0,27.6,6.0,0.0,0.0,21.0,28.0,0.0,3.0,33.0,21.0,0.0,0.0,0.0,146.0,71.0,30.0,70.3,Matches,benfica
Nicolás Otamendi,ar ARG,DF,33.0,27.4,7.0,0.0,0.0,29.0,20.0,1.0,4.0,59.0,31.0,0.0,0.0,0.0,179.0,76.0,33.0,69.7,Matches,benfica
Julian Weigl,de GER,MF,25.0,26.8,9.0,0.0,0.0,57.0,29.0,0.0,4.0,40.0,36.0,0.0,0.0,0.0,167.0,35.0,20.0,63.6,Matches,benfica
Álex Grimaldo,es ESP,"DF,MF",25.0,25.8,4.0,0.0,0.0,14.0,30.0,5.0,170.0,29.0,36.0,0.0,0.0,0.0,157.0,21.0,30.0,41.2,Matches,benfica
Darwin Núñez,uy URU,"FW,MF",22.0,22.0,6.0,0.0,0.0,28.0,29.0,23.0,51.0,5.0,7.0,1.0,0.0,0.0,51.0,26.0,38.0,40.6,Matches,benfica
Rafa Silva,pt POR,"MF,FW",28.0,22.6,4.0,0.0,0.0,18.0,77.0,8.0,31.0,13.0,18.0,1.0,0.0,0.0,106.0,3.0,12.0,20.0,Matches,benfica
João Mário,pt POR,MF,28.0,19.3,2.0,0.0,0.0,35.0,33.0,0.0,86.0,15.0,22.0,0.0,0.0,0.0,127.0,12.0,12.0,50.0,Matches,benfica
Everton Soares,br BRA,"MF,FW",25.0,17.8,5.0,0.0,0.0,19.0,29.0,5.0,64.0,9.0,27.0,0.0,0.0,0.0,78.0,17.0,12.0,58.6,Matches,benfica
Gonçalo Ramos,pt POR,"FW,MF",20.0,17.9,4.0,0.0,0.0,32.0,25.0,4.0,4.0,5.0,10.0,1.0,0.0,0.0,59.0,31.0,47.0,39.7,Matches,benfica
Gilberto,br BRA,"DF,MF",28.0,15.0,5.0,0.0,0.0,37.0,19.0,3.0,55.0,20.0,30.0,0.0,0.0,1.0,89.0,14.0,28.0,33.3,Matches,benfica
Roman Yaremchuk,ua UKR,FW,25.0,11.9,2.0,0.0,0.0,12.0,11.0,14.0,7.0,0.0,3.0,0.0,0.0,0.0,22.0,11.0,23.0,32.4,Matches,benfica
Valentino Lazaro,at AUT,"DF,MF",25.0,11.4,2.0,0.0,0.0,11.0,4.0,2.0,40.0,11.0,9.0,0.0,0.0,0.0,58.0,9.0,11.0,45.0,Matches,benfica
Morato,br BRA,DF,20.0,11.2,1.0,0.0,0.0,17.0,2.0,1.0,0.0,8.0,10.0,0.0,0.0,0.0,63.0,23.0,7.0,76.7,Matches,benfica
