Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Alireza Jahanbakhsh,ir IRN,FW,27.0,17.3,2,0,0,27,20,4,73,11,21,1.0,0.0,0,99.0,15.0,16.0,48.4,Matches,feyenoord
Ofir Marciano,il ISR,GK,31.0,12.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,20.0,2.0,1.0,66.7,Matches,feyenoord
Reiss Nelson,eng ENG,FW,21.0,10.1,2,0,0,7,10,1,27,5,18,0.0,1.0,0,70.0,3.0,7.0,30.0,Matches,feyenoord
Cyriel Dessers,ng NGA,FW,26.0,12.0,0,0,0,14,8,15,5,1,2,0.0,0.0,0,21.0,22.0,22.0,50.0,Matches,feyenoord
Ramon Hendriks,nl NED,DF,20.0,2.7,1,0,0,1,1,1,0,2,2,0.0,0.0,0,12.0,6.0,6.0,50.0,Matches,feyenoord
Jorrit Hendrix,nl NED,MF,26.0,3.5,1,0,0,3,4,0,3,5,5,0.0,1.0,0,33.0,4.0,5.0,44.4,Matches,feyenoord
Patrik Wålemark,se SWE,"FW,MF",19.0,4.2,0,0,0,7,14,0,26,2,5,0.0,0.0,0,23.0,4.0,6.0,40.0,Matches,feyenoord
Cole Bassett,us USA,"MF,DF",20.0,1.0,0,0,0,2,1,0,4,0,0,0.0,0.0,0,3.0,2.0,5.0,28.6,Matches,feyenoord
Wouter Burger,nl NED,DF,20.0,0.9,1,0,0,1,0,0,0,1,0,0.0,0.0,0,4.0,1.0,3.0,25.0,Matches,feyenoord
Philippe Sandler,nl NED,DF,24.0,0.6,0,0,0,2,0,0,0,0,0,0.0,0.0,0,6.0,1.0,1.0,50.0,Matches,feyenoord
Denzel Hall,nl NED,DF,20.0,0.6,0,0,0,1,0,0,2,0,2,0.0,0.0,0,2.0,0.0,0.0,,Matches,feyenoord
Róbert Boženík,sk SVK,FW,21.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Matches,feyenoord
Ridgeciano Haps,sr SUR,FW,28.0,0.2,0,0,0,1,1,0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,feyenoord
Naoufal Bannis,nl NED,"MF,FW",19.0,0.2,0,0,0,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,feyenoord
Mark Diemers,nl NED,"MF,FW",27.0,0.2,0,0,0,0,1,0,2,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches,feyenoord
Aliou Badara Baldé,sn SEN,FW,18.0,0.1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,feyenoord
João Carlos Teixeira,pt POR,MF,28.0,0.1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,,Matches,feyenoord
Karim Dermane,tg TOG,MF,17.0,0.1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,2.0,0.0,1.0,0.0,Matches,feyenoord
Robin Pröpper,nl NED,DF,27.0,31.7,4,0,0,45,21,0,1,40,23,1.0,0.0,2,189.0,118.0,60.0,66.3,Matches,twente
Ramiz Zerrouki,dz ALG,MF,23.0,28.9,10,1,1,49,26,0,51,49,51,0.0,0.0,0,216.0,56.0,54.0,50.9,Matches,twente
Ricky van Wolfswinkel,nl NED,FW,32.0,28.4,6,0,0,51,21,11,5,14,12,1.0,0.0,0,78.0,89.0,104.0,46.1,Matches,twente
Michel Vlap,nl NED,MF,24.0,27.0,2,0,0,29,35,4,11,15,32,2.0,0.0,0,153.0,39.0,39.0,50.0,Matches,twente
Michal Sadílek,cz CZE,"MF,DF",22.0,28.7,6,1,0,20,27,1,110,50,41,0.0,0.0,0,226.0,52.0,56.0,48.1,Matches,twente
Dimitris Limnios,gr GRE,FW,23.0,24.2,2,0,0,12,53,6,85,11,13,0.0,0.0,0,134.0,18.0,41.0,30.5,Matches,twente
Daan Rots,nl NED,FW,20.0,19.0,2,0,0,17,31,5,34,10,19,0.0,0.0,0,101.0,29.0,63.0,31.5,Matches,twente
Gijs Smal,nl NED,DF,23.0,20.8,1,0,0,12,16,1,66,37,33,0.0,0.0,0,146.0,19.0,24.0,44.2,Matches,twente
Mees Hilgers,nl NED,DF,20.0,20.2,1,0,0,19,12,2,2,27,45,0.0,1.0,0,122.0,33.0,36.0,47.8,Matches,twente
Giovanni Troupée,cw CUW,DF,23.0,18.9,1,0,0,19,12,1,11,19,17,0.0,0.0,0,93.0,37.0,17.0,68.5,Matches,twente
Julio Pleguezuelo,es ESP,DF,24.0,14.8,3,0,0,8,15,0,2,20,10,0.0,0.0,0,97.0,51.0,35.0,59.3,Matches,twente
Virgil Misidjan,nl NED,FW,28.0,12.6,0,0,0,24,44,5,56,8,8,0.0,0.0,0,91.0,10.0,13.0,43.5,Matches,twente
Joshua Brenet,nl NED,DF,27.0,11.1,4,0,0,11,5,1,24,10,15,0.0,0.0,0,103.0,20.0,7.0,74.1,Matches,twente
Jayden Oosterwolde,nl NED,DF,20.0,10.0,2,0,0,15,6,0,31,11,10,1.0,0.0,0,44.0,18.0,10.0,64.3,Matches,twente
Jesse Bosch,nl NED,MF,21.0,9.7,0,0,0,9,10,0,2,18,10,0.0,0.0,0,80.0,18.0,28.0,39.1,Matches,twente
Wout Brama,nl NED,MF,34.0,7.1,1,0,0,7,5,0,2,7,3,0.0,0.0,0,34.0,6.0,19.0,24.0,Matches,twente
Manfred Ugalde,cr CRC,"FW,MF",19.0,7.2,2,0,0,5,25,0,3,1,4,0.0,0.0,0,28.0,29.0,65.0,30.9,Matches,twente
Václav Černý,cz CZE,FW,23.0,6.0,1,0,0,7,0,1,17,5,6,0.0,0.0,0,38.0,1.0,10.0,9.1,Matches,twente
Queensy Menig,nl NED,FW,25.0,3.0,2,0,0,2,1,0,2,0,0,0.0,0.0,0,13.0,5.0,4.0,55.6,Matches,twente
Luka Ilić,rs SRB,"MF,FW",22.0,2.6,2,1,1,3,0,0,3,2,0,0.0,0.0,0,11.0,1.0,7.0,12.5,Matches,twente
Jeffrey De Lange,nl NED,GK,23.0,2.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5.0,0.0,0.0,,Matches,twente
Luca Everink,nl NED,DF,20.0,1.8,1,0,0,2,4,0,5,3,2,0.0,0.0,0,11.0,5.0,7.0,41.7,Matches,twente
Max Bruns,nl NED,DF,18.0,1.2,1,0,0,3,0,0,0,1,3,0.0,0.0,0,6.0,6.0,4.0,60.0,Matches,twente
Casper Staring,nl NED,MF,20.0,1.1,0,0,0,2,0,0,1,1,1,0.0,0.0,0,16.0,3.0,2.0,60.0,Matches,twente
Denilho Cleonise,nl NED,"FW,MF",19.0,2.1,0,0,0,1,3,1,3,4,0,0.0,0.0,0,20.0,2.0,3.0,40.0,Matches,twente
Dario Đumić,ba BIH,"DF,MF",29.0,0.2,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0.0,3.0,1.0,75.0,Matches,twente
Dani de Wit,nl NED,"MF,FW",23.0,31.5,4,0,0,72,37,17,6,28,44,1.0,0.0,0,145.0,113.0,74.0,60.4,Matches,az alkmaar
Peter Vindahl Jensen,dk DEN,GK,23.0,32.0,1,0,0,0,4,0,0,1,0,0.0,0.0,0,66.0,17.0,0.0,100.0,Matches,az alkmaar
Vangelis Pavlidis,gr GRE,FW,22.0,27.7,6,0,0,34,30,28,12,12,11,1.0,0.0,0,89.0,112.0,112.0,50.0,Matches,az alkmaar
Bruno Martins Indi,nl NED,DF,29.0,30.8,4,0,0,27,19,0,11,28,17,0.0,0.0,0,172.0,74.0,49.0,60.2,Matches,az alkmaar
Owen Wijndal,nl NED,DF,21.0,29.8,7,0,0,25,31,3,101,31,26,0.0,0.0,0,173.0,32.0,37.0,46.4,Matches,az alkmaar
Yukinari Sugawara,jp JPN,"DF,FW",21.0,29.3,3,0,0,28,12,0,118,26,53,1.0,0.0,0,195.0,23.0,31.0,42.6,Matches,az alkmaar
Jordy Clasie,nl NED,MF,30.0,26.8,5,1,0,26,18,0,9,43,33,0.0,0.0,0,229.0,18.0,29.0,38.3,Matches,az alkmaar
Fredrik Midtsjø,no NOR,MF,27.0,25.5,5,0,0,19,27,1,72,42,20,0.0,0.0,0,229.0,18.0,21.0,46.2,Matches,az alkmaar
Pantelis Hatzidiakos,gr GRE,DF,24.0,23.4,6,0,0,21,9,1,4,22,11,0.0,0.0,0,140.0,53.0,43.0,55.2,Matches,az alkmaar
Aslak Witry,no NOR,DF,25.0,15.5,0,0,0,10,9,0,34,20,9,0.0,0.0,0,118.0,24.0,32.0,42.9,Matches,az alkmaar
Albert Guðmundsson,is ISL,FW,24.0,12.1,4,0,0,14,20,2,18,5,3,2.0,0.0,0,58.0,4.0,10.0,28.6,Matches,az alkmaar
Tijjani Reijnders,nl NED,MF,23.0,14.5,1,0,0,12,12,0,21,22,16,0.0,0.0,0,102.0,11.0,17.0,39.3,Matches,az alkmaar
Håkon Evjen,no NOR,"FW,MF",21.0,10.1,0,0,0,7,17,2,16,11,24,1.0,0.0,0,78.0,6.0,19.0,24.0,Matches,az alkmaar
Sam Beukema,nl NED,DF,22.0,11.0,0,0,0,5,4,0,2,20,11,0.0,0.0,0,68.0,37.0,42.0,46.8,Matches,az alkmaar
Zakaria Aboukhlal,ma MAR,"FW,MF",21.0,9.1,1,0,0,13,13,7,7,6,10,0.0,0.0,0,39.0,16.0,21.0,43.2,Matches,az alkmaar
Timo Letschert,nl NED,DF,28.0,3.2,1,0,0,1,1,0,1,3,3,0.0,0.0,0,17.0,6.0,4.0,60.0,Matches,az alkmaar
Hobie Verhulst,nl NED,GK,28.0,2.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,az alkmaar
Thijs Oosting,nl NED,"DF,FW",21.0,1.5,0,0,0,2,0,0,2,1,2,0.0,0.0,0,10.0,1.0,2.0,33.3,Matches,az alkmaar
Teun Koopmeiners,nl NED,MF,23.0,1.3,0,0,0,1,2,0,11,2,2,0.0,0.0,0,17.0,1.0,1.0,50.0,Matches,az alkmaar
Peer Koopmeiners,nl NED,MF,21.0,0.8,1,0,0,1,0,0,1,1,0,0.0,0.0,0,3.0,2.0,1.0,66.7,Matches,az alkmaar
Kamal Sowah,gh GHA,"FW,MF",21.0,1.8,0,0,0,4,0,1,2,0,3,0.0,0.0,0,20.0,3.0,11.0,21.4,Matches,az alkmaar
Yusuf Barasi,tr TUR,FW,18.0,0.6,0,0,0,0,0,0,0,1,0,0.0,0.0,0,3.0,1.0,1.0,50.0,Matches,az alkmaar
Ernest Poku,nl NED,"FW,MF",17.0,0.5,0,0,0,2,0,0,0,1,3,0.0,0.0,0,3.0,0.0,2.0,0.0,Matches,az alkmaar
Jelle Duin,nl NED,FW,22.0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,az alkmaar
Myron van Brederode,nl NED,FW,18.0,0.1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,1.0,0.0,0.0,,Matches,az alkmaar
Mohamed Taabouni,nl NED,FW,19.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,az alkmaar
Loïs Openda,be BEL,FW,21.0,29.4,3,1,0,40,64,27,51,6,12,0.0,0.0,0,94.0,34.0,44.0,43.6,Matches,vitesse
Eli Dasa,il ISR,"DF,MF",28.0,29.1,1,0,0,14,14,2,202,27,19,0.0,0.0,0,166.0,11.0,16.0,40.7,Matches,vitesse
Danilho Doekhi,nl NED,DF,23.0,28.9,4,1,1,25,16,0,6,39,37,0.0,0.0,0,179.0,128.0,50.0,71.9,Matches,vitesse
Jacob Rasmussen,dk DEN,DF,24.0,24.3,5,1,0,23,9,0,6,48,29,1.0,1.0,1,169.0,97.0,59.0,62.2,Matches,vitesse
Maximilian Wittek,de GER,"DF,MF",25.0,24.7,8,0,0,28,36,2,189,32,37,0.0,0.0,0,177.0,21.0,29.0,42.0,Matches,vitesse
Matúš Bero,sk SVK,MF,25.0,24.2,12,1,1,52,38,1,12,18,21,0.0,1.0,0,180.0,20.0,40.0,33.3,Matches,vitesse
Riechedly Bazoer,nl NED,DF,24.0,21.8,9,0,0,21,46,0,40,43,18,0.0,1.0,0,201.0,20.0,20.0,50.0,Matches,vitesse
Markus Schubert,de GER,GK,23.0,19.5,1,0,0,2,2,0,0,0,2,0.0,1.0,0,41.0,9.0,0.0,100.0,Matches,vitesse
Nikolai Baden Frederiksen,dk DEN,FW,21.0,14.5,2,0,0,19,16,5,9,2,6,0.0,0.0,0,35.0,14.0,34.0,29.2,Matches,vitesse
Jeroen Houwen,nl NED,GK,25.0,14.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,26.0,1.0,0.0,100.0,Matches,vitesse
Toni Domgjoni,xk KVX,MF,22.0,11.9,1,0,0,13,7,0,9,11,19,0.0,0.0,0,78.0,9.0,13.0,40.9,Matches,vitesse
Yann Gboho,fr FRA,"MF,FW",20.0,10.6,0,0,0,13,17,1,4,6,6,0.0,0.0,0,58.0,6.0,18.0,25.0,Matches,vitesse
Thomas Buitink,nl NED,"FW,MF",21.0,12.8,7,1,0,17,12,3,17,7,16,1.0,0.0,0,53.0,3.0,6.0,33.3,Matches,vitesse
Tomáš Hájek,cz CZE,DF,29.0,10.1,1,0,0,19,4,2,7,13,15,0.0,1.0,1,58.0,22.0,24.0,47.8,Matches,vitesse
Daan Huisman,nl NED,"MF,FW",19.0,9.9,1,0,0,10,6,0,14,5,10,0.0,0.0,0,62.0,15.0,20.0,42.9,Matches,vitesse
