Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Lorenz Assignon,tg TOG,DF,21.0,6.8,0,0,0,10,12,2,21,11,10,0.0,0.0,0,40.0,11.0,6.0,64.7,Matches,rennes
Jeremy Doku,be BEL,"FW,MF",19.0,5.2,2,0,0,9,15,0,13,3,5,0.0,0.0,0,38.0,2.0,5.0,28.6,Matches,rennes
Chimuanya Ugochukwu,fr FRA,MF,17.0,4.5,2,0,0,14,1,0,0,4,9,0.0,0.0,0,17.0,3.0,7.0,30.0,Matches,rennes
Eduardo Camavinga,fr FRA,MF,18.0,1.6,0,0,0,2,6,0,0,1,1,0.0,0.0,0,8.0,2.0,0.0,100.0,Matches,rennes
Matthis Abline,fr FRA,FW,18.0,1.1,0,0,0,2,1,0,0,0,0,0.0,0.0,0,0.0,0.0,7.0,0.0,Matches,rennes
Romain Salin,fr FRA,GK,37.0,1.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,rennes
Loum Tchaouna,fr FRA,"FW,MF",17.0,1.0,0,0,0,0,1,2,4,2,1,0.0,0.0,0,7.0,2.0,0.0,100.0,Matches,rennes
Mathys Tel,fr FRA,"FW,MF",16.0,0.6,0,0,0,5,0,0,6,1,1,0.0,0.0,0,6.0,0.0,2.0,0.0,Matches,rennes
Romain Del Castillo,fr FRA,"MF,FW",25.0,0.3,0,0,0,0,3,0,0,1,1,0.0,0.0,0,2.0,0.0,1.0,0.0,Matches,rennes
Andy Diouf,fr FRA,MF,18.0,0.2,0,0,0,1,1,0,0,0,1,0.0,0.0,0,2.0,0.0,1.0,0.0,Matches,rennes
Jean-Clair Todibo,fr FRA,DF,21.0,34.6,6,0,0,24,10,0,9,51,37,0.0,1.0,0,228.0,70.0,45.0,60.9,Matches,nice
Dante,br BRA,DF,37.0,31.9,7,3,1,26,12,0,3,49,29,1.0,1.0,0,208.0,50.0,27.0,64.9,Matches,nice
Amine Gouiri,fr FRA,"FW,MF",21.0,30.6,3,0,0,30,32,6,98,11,13,1.0,0.0,0,89.0,12.0,24.0,33.3,Matches,nice
