Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Grischa Prömel,de GER,MF,26.0,26.9,4,0,0,37,57,2,6,23,22,0,0,0,187,36,36,50.0,Matches,union berlin
Andreas Luthe,de GER,GK,34.0,27.0,3,0,0,1,3,0,0,0,0,0,1,0,33,7,0,100.0,Matches,union berlin
Timo Baumgartl,de GER,DF,25.0,24.1,5,0,0,24,13,0,10,37,28,0,0,2,127,53,43,55.2,Matches,union berlin
Niko Gießelmann,de GER,"DF,FW",29.0,23.1,3,0,0,23,33,1,106,18,17,0,0,0,81,24,29,45.3,Matches,union berlin
Christopher Trimmel,at AUT,"DF,FW",34.0,22.1,5,0,0,29,6,0,146,34,30,0,0,0,145,29,19,60.4,Matches,union berlin
Genki Haraguchi,jp JPN,MF,30.0,19.5,2,0,0,27,30,1,12,26,20,0,0,0,99,15,24,38.5,Matches,union berlin
Paul Jaeckel,de GER,DF,23.0,22.7,5,0,0,28,13,0,4,57,29,0,1,0,150,47,52,47.5,Matches,union berlin
Sheraldo Becker,sr SUR,"FW,MF",26.0,19.5,4,0,0,26,25,10,123,2,6,0,0,0,96,11,39,22.0,Matches,union berlin
Max Kruse,de GER,"FW,MF",33.0,14.1,1,0,0,5,6,1,48,3,1,0,0,0,46,14,25,35.9,Matches,union berlin
Julian Ryerson,no NOR,DF,23.0,15.9,3,0,0,12,14,0,51,16,15,0,0,0,113,18,29,38.3,Matches,union berlin
Marvin Friedrich,de GER,DF,25.0,13.0,4,1,1,12,2,0,5,23,5,0,0,1,79,39,32,54.9,Matches,union berlin
Bastian Oczipka,de GER,DF,32.0,10.4,1,0,0,10,13,1,61,12,15,0,0,0,77,10,4,71.4,Matches,union berlin
Frederik Rønnow,dk DEN,GK,28.0,7.0,1,0,0,0,1,0,0,0,0,0,0,0,8,4,0,100.0,Matches,union berlin
Dominique Heintz,de GER,DF,27.0,5.2,0,0,0,6,2,1,1,7,5,0,0,0,25,7,12,36.8,Matches,union berlin
Andreas Voglsammer,de GER,"FW,MF",29.0,9.8,1,0,0,16,16,14,21,2,9,0,0,0,27,35,47,42.7,Matches,union berlin
Levin Öztunalı,de GER,MF,25.0,6.4,0,0,0,15,8,3,12,4,11,0,0,0,40,11,16,40.7,Matches,union berlin
Kevin Möhwald,de GER,MF,28.0,3.9,2,0,0,6,4,2,7,3,1,0,0,0,30,3,3,50.0,Matches,union berlin
Kevin Behrens,de GER,FW,30.0,5.5,1,0,0,15,5,1,2,3,2,1,0,0,25,45,40,52.9,Matches,union berlin
Sven Michel,de GER,FW,31.0,3.8,2,0,0,12,4,3,8,1,6,0,0,0,16,13,21,38.2,Matches,union berlin
Marcus Ingvartsen,dk DEN,MF,25.0,1.4,0,0,0,2,1,0,1,2,0,0,0,0,9,3,2,60.0,Matches,union berlin
András Schäfer,hu HUN,MF,22.0,2.7,2,0,0,6,2,0,1,2,1,0,0,0,25,1,5,16.7,Matches,union berlin
Cedric Teuchert,de GER,"MF,FW",24.0,1.2,0,0,0,1,1,1,1,0,2,0,0,0,9,2,2,50.0,Matches,union berlin
Keita Endo,jp JPN,MF,23.0,0.6,0,0,0,0,2,1,3,0,1,0,0,0,4,0,2,0.0,Matches,union berlin
Anthony Ujah,ng NGA,"FW,MF",30.0,0.4,0,0,0,4,1,0,1,0,0,0,0,0,1,1,1,50.0,Matches,union berlin
Vincenzo Grifo,it ITA,"MF,FW",28.0,30.8,0,0,0,11,27,1,169,13,15,0,0,0,160,17,19,47.2,Matches,freiburg
Mark Flekken,nl NED,GK,28.0,32.0,0,0,0,0,1,0,0,2,0,0,0,0,70,4,0,100.0,Matches,freiburg
Philipp Lienhart,at AUT,DF,25.0,31.9,2,0,0,15,27,1,8,50,13,0,1,0,216,69,46,60.0,Matches,freiburg
Nico Schlotterbeck,de GER,DF,21.0,30.9,5,0,0,32,35,1,9,56,43,0,0,0,238,109,36,75.2,Matches,freiburg
Nicolas Höfler,de GER,MF,31.0,28.9,5,0,0,47,40,0,7,46,42,1,1,0,199,64,48,57.1,Matches,freiburg
Lucas Höler,de GER,FW,27.0,28.7,2,0,0,36,61,14,23,17,25,1,0,0,106,126,107,54.1,Matches,freiburg
Lukas Kübler,de GER,"DF,MF",28.0,25.9,2,0,0,24,20,3,49,44,35,0,0,0,145,39,42,48.1,Matches,freiburg
Maximilian Eggestein,de GER,MF,24.0,24.4,2,0,0,32,26,1,11,30,28,0,0,0,145,46,51,47.4,Matches,freiburg
Jeong Woo-yeong,kr KOR,"FW,MF",21.0,19.8,1,0,0,10,15,12,31,7,9,0,0,0,79,16,36,30.8,Matches,freiburg
Roland Sallai,hu HUN,"MF,FW",24.0,17.2,1,0,0,29,42,4,58,11,16,1,0,0,74,21,28,42.9,Matches,freiburg
Manuel Gulde,de GER,DF,30.0,13.6,2,0,0,17,9,0,3,17,10,0,0,0,60,25,15,62.5,Matches,freiburg
Ermedin Demirović,ba BIH,FW,23.0,9.7,4,0,0,27,6,12,6,1,6,0,0,0,33,17,45,27.4,Matches,freiburg
Kevin Schade,de GER,"MF,FW",19.0,9.2,2,0,0,22,26,4,13,3,7,0,0,0,41,40,35,53.3,Matches,freiburg
Janik Haberer,de GER,MF,27.0,9.1,1,0,0,20,10,1,4,16,8,0,0,0,51,16,22,42.1,Matches,freiburg
Jonathan Schmid,fr FRA,DF,31.0,6.5,0,0,0,4,3,0,16,6,6,0,0,0,36,8,9,47.1,Matches,freiburg
Yannik Keitel,de GER,MF,21.0,5.6,1,0,0,13,5,0,2,1,4,0,0,1,27,10,9,52.6,Matches,freiburg
Nils Petersen,de GER,FW,32.0,6.4,0,0,0,2,3,0,3,2,3,0,0,0,17,23,56,29.1,Matches,freiburg
Keven Schlotterbeck,de GER,"DF,FW",24.0,3.5,1,0,0,9,2,0,0,11,5,0,0,0,13,9,4,69.2,Matches,freiburg
Benjamin Uphoff,de GER,GK,27.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches,freiburg
Kiliann Sildillia,fr FRA,"DF,MF",19.0,1.9,1,0,0,1,1,0,5,2,3,0,0,0,16,1,4,20.0,Matches,freiburg
Noah Weißhaupt,de GER,"MF,FW",19.0,1.1,0,0,0,3,2,0,4,1,1,0,0,0,6,1,2,33.3,Matches,freiburg
Dominique Heintz,de GER,DF,27.0,0.3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,50.0,Matches,freiburg
Hugo Siquet,be BEL,DF,19.0,0.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,Matches,freiburg
Baptiste Santamaria,fr FRA,MF,26.0,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches,freiburg
Florian Kainz,at AUT,"MF,FW",28.0,25.8,3,1,1,36,45,1,238,32,26,0,0,0,181,10,18,35.7,Matches,koln
Jonas Hector,de GER,DF,31.0,28.4,3,0,0,28,53,1,71,50,39,0,0,0,213,48,28,63.2,Matches,koln
