Player,Pos,Age,MP,Min,90s,Gls,Ast,CrdY,CrdR,xG,Gls/90,Ast/90,xG/90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,Recov,Won%,club
Roberto Massimo,6,20.0,19,877.0,9.7,2.0,0.0,0.0,0.0,2.2,0.21,0.0,0.23,0.0,8.0,4.0,4.0,17.0,3.0,5.0,44.0,30.8,stuttgart
Marc-Oliver Kempf,2,26.0,12,840.0,9.3,3.0,0.0,2.0,0.0,1.1,0.32,0.0,0.11,0.0,13.0,8.0,0.0,2.0,16.0,8.0,62.0,61.7,stuttgart
Pascal Stenzel,2,25.0,16,899.0,10.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.02,0.0,13.0,4.0,0.0,18.0,11.0,11.0,84.0,52.0,stuttgart
Mateo Klimowicz,7,21.0,15,603.0,6.7,0.0,1.0,2.0,0.0,0.8,0.0,0.15,0.12,0.0,9.0,9.0,1.0,2.0,4.0,6.0,21.0,33.3,stuttgart
Hamadi Al Ghaddioui,4,30.0,10,498.0,5.5,2.0,2.0,2.0,0.0,1.7,0.36,0.36,0.31,0.0,13.0,6.0,3.0,1.0,0.0,4.0,10.0,45.7,stuttgart
Nikolas Nartey,5,21.0,8,404.0,4.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,11.0,5.0,1.0,6.0,7.0,3.0,23.0,83.3,stuttgart
Fabian Bredlow,1,26.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,50.0,stuttgart
Philipp Klement,3,28.0,6,338.0,3.8,1.0,0.0,0.0,0.0,0.3,0.27,0.0,0.07,0.0,2.0,1.0,1.0,12.0,1.0,3.0,26.0,14.3,stuttgart
Silas Katompa,7,22.0,9,277.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,3.0,7.0,3.0,7.0,2.0,4.0,20.0,33.3,stuttgart
Alexis Tibidi,7,17.0,13,385.0,4.3,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.1,0.0,11.0,12.0,4.0,3.0,3.0,3.0,16.0,53.8,stuttgart
Daniel Didavi,7,31.0,10,277.0,3.1,0.0,1.0,1.0,0.0,0.8,0.0,0.32,0.25,0.0,3.0,7.0,2.0,9.0,1.0,2.0,15.0,66.7,stuttgart
Erik Thommy,7,26.0,11,274.0,3.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,2.0,6.0,2.0,23.0,4.0,0.0,12.0,33.3,stuttgart
Suat Serdar,7,24.0,30,2218.0,24.6,3.0,0.0,6.0,0.0,2.1,0.12,0.0,0.09,0.0,37.0,47.0,2.0,6.0,20.0,30.0,153.0,44.2,hertha bsc
Peter Pekarík,2,34.0,27,2234.0,24.8,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.03,0.0,25.0,18.0,1.0,59.0,29.0,29.0,133.0,58.3,hertha bsc
Alexander Schwolow,1,29.0,25,2175.0,24.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,25.0,100.0,hertha bsc
Vladimír Darida,3,30.0,25,1786.0,19.8,2.0,5.0,6.0,0.0,1.9,0.1,0.25,0.09,0.0,22.0,33.0,4.0,64.0,20.0,18.0,137.0,32.6,hertha bsc
Niklas Stark,2,26.0,26,2031.0,22.6,1.0,0.0,3.0,0.0,0.8,0.04,0.0,0.04,0.0,19.0,20.0,1.0,0.0,36.0,16.0,115.0,59.8,hertha bsc
Lucas Tousart,3,24.0,30,1962.0,21.8,2.0,0.0,3.0,0.0,1.5,0.09,0.0,0.07,0.0,32.0,24.0,1.0,16.0,35.0,25.0,132.0,46.4,hertha bsc
Dedryck Boyata,2,30.0,23,1898.0,21.1,0.0,0.0,1.0,1.0,0.8,0.0,0.0,0.04,0.0,11.0,6.0,3.0,0.0,17.0,13.0,93.0,61.9,hertha bsc
Marco Richter,7,23.0,30,1704.0,18.9,5.0,1.0,6.0,0.0,3.2,0.26,0.05,0.17,0.0,30.0,45.0,5.0,57.0,16.0,16.0,95.0,21.4,hertha bsc
Marvin Plattenhardt,2,29.0,21,1637.0,18.2,0.0,3.0,3.0,0.0,0.5,0.0,0.16,0.03,0.0,14.0,21.0,0.0,123.0,17.0,11.0,102.0,53.3,hertha bsc
Ishak Belfodil,4,29.0,26,1636.0,18.2,5.0,2.0,1.0,0.0,3.7,0.28,0.11,0.21,0.0,19.0,11.0,27.0,12.0,5.0,6.0,43.0,46.9,hertha bsc
Maximilian Mittelstädt,6,24.0,24,1493.0,16.6,0.0,5.0,3.0,0.0,0.3,0.0,0.3,0.02,0.0,20.0,36.0,1.0,85.0,46.0,33.0,112.0,46.0,hertha bsc
Stevan Jovetić,7,31.0,18,1017.0,11.3,6.0,1.0,3.0,0.0,4.4,0.53,0.09,0.39,0.0,8.0,17.0,7.0,9.0,1.0,2.0,38.0,50.0,hertha bsc
Marc-Oliver Kempf,2,26.0,12,1051.0,11.7,0.0,1.0,1.0,1.0,0.7,0.0,0.09,0.06,0.0,15.0,12.0,0.0,2.0,25.0,9.0,56.0,62.1,hertha bsc
Davie Selke,4,26.0,25,1004.0,11.2,4.0,0.0,2.0,0.0,4.2,0.36,0.0,0.38,0.0,31.0,21.0,5.0,6.0,1.0,4.0,21.0,49.2,hertha bsc
Marcel Lotka,1,20.0,10,885.0,9.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,13.0,85.7,hertha bsc
Myziane Maolida,7,22.0,14,776.0,8.6,1.0,1.0,0.0,0.0,1.4,0.12,0.12,0.16,0.0,10.0,6.0,3.0,7.0,1.0,4.0,43.0,40.0,hertha bsc
Márton Dárdai,2,19.0,12,755.0,8.4,0.0,1.0,2.0,0.0,0.1,0.0,0.12,0.01,0.0,10.0,6.0,0.0,8.0,20.0,4.0,33.0,52.2,hertha bsc
Kevin-Prince Boateng,7,34.0,18,696.0,7.7,0.0,0.0,8.0,0.0,0.3,0.0,0.0,0.03,0.0,21.0,21.0,1.0,5.0,6.0,5.0,44.0,60.5,hertha bsc
Jurgen Ekkelenkamp,7,21.0,21,718.0,8.0,3.0,0.0,1.0,0.0,1.5,0.38,0.0,0.19,0.0,11.0,5.0,0.0,3.0,4.0,3.0,48.0,34.6,hertha bsc
Linus Gechter,2,17.0,13,716.0,8.0,1.0,0.0,0.0,0.0,0.5,0.13,0.0,0.07,0.0,6.0,0.0,0.0,2.0,11.0,8.0,44.0,36.4,hertha bsc
Deyovaisio Zeefuik,2,23.0,11,565.0,6.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,11.0,11.0,10.0,37.0,45.0,hertha bsc
Jordan Torunarigha,2,23.0,7,483.0,5.4,0.0,1.0,1.0,0.0,0.3,0.0,0.19,0.05,0.0,4.0,4.0,1.0,1.0,17.0,1.0,27.0,75.0,hertha bsc
Krzysztof Piątek,4,26.0,9,347.0,3.9,1.0,0.0,0.0,0.0,1.8,0.26,0.0,0.46,0.0,10.0,6.0,6.0,3.0,0.0,2.0,5.0,34.3,hertha bsc
Fredrik André Bjørkan,2,22.0,9,353.0,3.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,6.0,10.0,29.0,16.7,hertha bsc
Joakim Nilsson,2,27.0,31,2735.0,30.4,2.0,0.0,5.0,0.0,0.4,0.07,0.0,0.01,0.0,32.0,16.0,2.0,3.0,56.0,19.0,148.0,55.6,arminia
Masaya Okugawa,7,25.0,33,2531.0,28.1,8.0,1.0,0.0,0.0,3.9,0.28,0.04,0.14,0.0,24.0,22.0,12.0,14.0,20.0,25.0,114.0,28.2,arminia
Alessandro Schöpf,3,27.0,31,2397.0,26.6,1.0,0.0,3.0,1.0,2.0,0.04,0.0,0.07,1.0,27.0,41.0,1.0,58.0,30.0,22.0,209.0,40.7,arminia
Amos Pieper,2,23.0,27,2379.0,26.4,0.0,0.0,2.0,0.0,0.8,0.0,0.0,0.03,0.0,12.0,15.0,0.0,3.0,50.0,29.0,131.0,53.3,arminia
Patrick Wimmer,7,20.0,31,2052.0,22.8,3.0,6.0,7.0,0.0,3.7,0.13,0.26,0.16,0.0,49.0,38.0,5.0,96.0,27.0,31.0,167.0,44.0,arminia
Cédric Brunner,2,27.0,27,2183.0,24.3,0.0,1.0,6.0,0.0,0.2,0.0,0.04,0.01,0.0,35.0,24.0,0.0,70.0,43.0,35.0,157.0,54.9,arminia
